country,url,continent
Panama,country/panama/,North America
Papua New Guinea,country/papua-new-guinea/,Oceania
Paraguay,country/paraguay/,South America
Peru,country/peru/,South America
Philippines,country/philippines/,Asia
Poland,country/poland/,Europe
Portugal,country/portugal/,Europe
Qatar,country/qatar/,Asia
Réunion,country/reunion/,Africa
Romania,country/romania/,Europe
Russia,country/russia/,Europe
Rwanda,country/rwanda/,Africa
S. Korea,country/south-korea/,Asia
Saint Kitts and Nevis,country/saint-kitts-and-nevis/,North America
Saint Lucia,country/saint-lucia/,North America
Saint Martin,country/saint-martin/,North America
Saint Pierre Miquelon,country/saint-pierre-and-miquelon/,North America
San Marino,country/san-marino/,Europe
Sao Tome and Principe,country/sao-tome-and-principe/,Africa
Saudi Arabia,country/saudi-arabia/,Asia
Senegal,country/senegal/,Africa
Serbia,country/serbia/,Europe
Seychelles,country/seychelles/,Africa
Sierra Leone,country/sierra-leone/,Africa
Singapore,country/singapore/,Asia
Sint Maarten,country/sint-maarten/,North America
Slovakia,country/slovakia/,Europe
Slovenia,country/slovenia/,Europe
Somalia,country/somalia/,Africa
South Africa,country/south-africa/,Africa
South Sudan,country/south-sudan/,Africa
Spain,country/spain/,Europe
Sri Lanka,country/sri-lanka/,Asia
St. Barth,country/saint-barthelemy/,North America
St. Vincent Grenadines,country/saint-vincent-and-the-grenadines/,North America
Sudan,country/sudan/,Africa
Suriname,country/suriname/,South America
Sweden,country/sweden/,Europe
Switzerland,country/switzerland/,Europe
Syria,country/syria/,Asia
Taiwan,country/taiwan/,Asia
Tanzania,country/tanzania/,Africa
Thailand,country/thailand/,Asia
Timor-Leste,country/timor-leste/,Asia
Togo,country/togo/,Africa
Trinidad and Tobago,country/trinidad-and-tobago/,North America
Tunisia,country/tunisia/,Africa
Turkey,country/turkey/,Asia
Turks and Caicos,country/turks-and-caicos-islands/,North America
UAE,country/united-arab-emirates/,Asia
Uganda,country/uganda/,Africa
UK,country/uk/,Europe
Ukraine,country/ukraine/,Europe
Uruguay,country/uruguay/,South America
USA,country/us/,North America
Uzbekistan,country/uzbekistan/,Asia
Vatican City,country/holy-see/,Europe
Venezuela,country/venezuela/,South America
Vietnam,country/viet-nam/,Asia
Western Sahara,country/western-sahara/,Africa
Yemen,country/yemen/,Asia
Zambia,country/zambia/,Africa
Zimbabwe,country/zimbabwe/,Africa
